jerseyNumber,position,status,fullName,id
17,RF,Active,Alex Call,669743
54,P,Active,Amos Willingham,686294
19,1B,Active,Andrés Chaparro,665953
72,P,Active,Andry Lara,691251
5,SS,Active,CJ Abrams,682928
24,P,Active,Cade Cavalli,676917
99,P,Active,Cole Henry,669371
74,P,Active,DJ Herz,687792
10,2B,Active,Darren Baker,671117
58,P,Active,Derek Law,571882
81,C,Active,Drew Millas,686452
3,RF,Active,Dylan Crews,686611
62,P,Active,Eduardo Salazar,674285
,P,Active,Evan Reifert,682126
79,P,Active,Jackson Rutledge,671131
30,CF,Active,Jacob Young,696285
27,P,Active,Jake Irvin,663623
29,LF,Active,James Wood,695578
60,P,Active,Joan Adon,672851
53,P,Active,Joe La Sorsa,686747
47,P,Active,Jose A. Ferrer,678606
8,3B,Active,José Tena,677588
40,P,Active,Josiah Gray,680686
18,1B,Active,Juan Yepez,660766
20,C,Active,Keibert Ruiz,660688
2,2B,Active,Luis García Jr.,671277
1,P,Active,MacKenzie Gore,669022
71,P,Active,Mason Thompson,666168
70,P,Active,Mitchell Parker,680730
26,SS,Active,Nasim Nuñez,683083
64,P,Active,Orlando Ribalta,687377
15,C,Active,Riley Adams,656180
61,P,Active,Robert Garcia,676395
57,CF,Active,Robert Hassell III,690987
36,RF,Active,Stone Garrett,656448
38,3B,Active,Trey Lipscomb,702358
66,P,Active,Zach Brzykcy,694350
